,Cohort Date,Split 1,Split 2,Split 3,Cohort Date.1,Registration C,First Deposit C,First Deposit S,Deposit APPC,First Deposit 2 Deposit Conversion,24h First Deposit 2 Deposit Conversion,7D First Deposit 2 Deposit Conversion,1D Deposit S,1D Deposit C,3D Deposit S,7D Deposit S,7D Deposit C,14D Deposit S,14D Deposit C,30D Deposit C,28D Deposit S,Marketing Spend,1D CNGR,3D CNGR,7D CNGR,14D CNGR,28D CNGR,Mono Instant Depositor Share
0,2025-12-23,TS_KOKO_C,Italy,,2025-12-23,10,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,0.0,17,17,17,17,17,0.0
1,2025-12-23,TS_KOKO_C,Italy,45KO,2025-12-23,1,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,0.0,18,18,18,18,18,0.0
2,2025-12-22,ASO_MM,Hungary,Default,2025-12-22,14,1,77,1.0,0.0,0.0,0.0,77,1,77,77,1,77,1,1,77,95.0,70,70,70,70,70,0.0
3,2025-12-22,ASO_MM,Norway,Default,2025-12-22,1,1,24,1.0,0.0,0.0,0.0,24,1,24,24,1,24,1,1,24,180.0,19,19,19,19,19,0.0
4,2025-12-22,EmberHoldings_C,Spain,54809,2025-12-22,1,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,-14,-14,-14,-14,-14,0.0
5,2025-12-22,MarlerinoFB_DJ_C,Canada,Default,2025-12-22,1,1,31,1.0,0.0,0.0,0.0,31,1,31,31,1,31,1,1,31,130.0,25,25,25,25,25,0.0
6,2025-12-22,MarlerinoFB_DJ_C,Hungary,Default,2025-12-22,32,9,204,1.56,11.11,11.11,11.11,397,14,397,397,14,397,14,14,397,720.0,295,295,295,295,295,0.0
7,2025-12-22,MarlerinoFB_DJ_C,Italy,Default,2025-12-22,1,1,40,1.0,0.0,0.0,0.0,40,1,40,40,1,40,1,1,40,120.0,35,35,35,35,35,0.0
8,2025-12-22,MarlerinoFB_TC_C,Italy,EM,2025-12-22,3,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,16,16,16,16,16,0.0
9,2025-12-22,poxchka,Switzerland,CHNoutPopitower,2025-12-22,1,1,21,1.0,0.0,0.0,0.0,21,1,21,21,1,21,1,1,21,200.0,17,17,17,17,17,0.0
10,2025-12-22,poxchka,Switzerland,CHTelochka,2025-12-22,2,1,21,1.0,0.0,0.0,0.0,21,1,21,21,1,21,1,1,21,180.0,16,16,16,16,16,0.0
11,2025-12-22,poxchka,Switzerland,musp22,2025-12-22,1,1,21,1.0,0.0,0.0,0.0,21,1,21,21,1,21,1,1,21,180.0,16,16,16,16,16,0.0
12,2025-12-22,riddickspartners,Poland,inhouseinapp,2025-12-22,33,4,140,1.0,0.0,0.0,0.0,140,4,140,140,4,140,4,4,140,600.0,116,116,116,116,116,0.0
