Cohort Date,Split 1,Split 2,Cohort Date.1,First Deposit C,First Deposit S,Deposit APPC,First Deposit 2 Deposit Conversion,24h First Deposit 2 Deposit Conversion,7D First Deposit 2 Deposit Conversion,1D Deposit S,1D Deposit C,3D Deposit S,7D Deposit S,7D Deposit C,14D Deposit S,28D Deposit S,Marketing Spend,1D CNGR,3D CNGR,7D CNGR,14D CNGR,28D CNGR,Mono Instant Depositor Share
2025-11-20,,Australia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Austria,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Belarus,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Belgium,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Canada,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,China,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Country 4,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Croatia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Czech Republic,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Denmark,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Finland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Germany,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Greece,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Hungary,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Ireland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Italy,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Kazakhstan,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Latvia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,New Zealand,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Norway,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Poland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Portugal,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Romania,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Russia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Slovakia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Slovenia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Switzerland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,Ukraine,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,
2025-11-20,,United States,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Australia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Belgium,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Canada,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Colombia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Country 2,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Finland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Germany,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Hungary,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Ireland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Laos,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Malaysia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,New Zealand,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Norway,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Poland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Portugal,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Romania,,,,,,,,,,,,,,,,,,,,,
2025-11-20,044agency,Serbia,,,,,,,,,,,,,,,,,,,,,
